UserID,O,C,E,A,N
1,0.942,0.123,0.366,0.254,0.801
32,0.382,0.765,0.693,0.292,0.15
53,0.685,0.563,0.521,0.199,0.573
62,0.412666667,0.254,0.681666667,0.799,0.365
67,0.284166667,0.474,0.759166667,0.152,0.671
68,0.827,0.4931,0.152,0.4301,0.4985
71,0.474722222,0.921,0.457722222,0.4604,0.494
73,0.442126984,0.5313,0.437412698,0.4907,0.4895
76,0.409531746,0.2504,0.417103175,0.521,0.485
78,0.376936508,0.5695,0.396793651,0.5513,0.4805
85,0.34434127,0.123,0.376484127,0.5816,0.476
103,0.411746032,0.2077,0.356174603,0.6119,0.1715
106,0.279150794,0.6268,0.335865079,0.6422,0.467
